state,map,district,metric,value,map_approved
AR,sb721,04,pvi,-33.6331177133981,False
AR,sb721,04,vap_race_white,71.24,False
AR,sb721,04,vap_race_black,14.57,False
AR,sb721,04,vap_race_hispanic,6.92,False
AR,sb721,04,vap_race_asian,1.93,False
AR,sb721,04,vap_race_other,5.35,False
AR,sb721,statewide,efficiency_gap,-21.3737472252277,False
AR,sb721,statewide,median,-1.91748664736355,False
AR,sb722,01,competitive,0.0,False
AR,sb722,01,pvi,-41.5941937622004,False
AR,sb722,01,vap_race_white,74.44,False
AR,sb722,01,vap_race_black,17.23,False
AR,sb722,01,vap_race_hispanic,3.32,False
AR,sb722,01,vap_race_asian,0.79,False
AR,sb722,01,vap_race_other,4.22,False
AR,sb722,02,competitive,0.0,False
AR,sb722,02,pvi,-17.5176079407724,False
AR,sb722,02,vap_race_white,68.48,False
AR,sb722,02,vap_race_black,18.91,False
AR,sb722,02,vap_race_hispanic,5.91,False
AR,sb722,02,vap_race_asian,1.71,False
AR,sb722,02,vap_race_other,5.0,False
AR,sb722,03,competitive,0.0,False
AR,sb722,03,pvi,-30.2938572590807,False
AR,sb722,03,vap_race_white,71.96,False
AR,sb722,03,vap_race_black,2.8,False
AR,sb722,03,vap_race_hispanic,13.53,False
AR,sb722,03,vap_race_asian,3.55,False
AR,sb722,03,vap_race_other,8.15,False
AR,sb722,04,competitive,0.0,False
AR,sb722,04,pvi,-39.8484597757335,False
AR,sb722,04,vap_race_white,71.25,False
AR,sb722,04,vap_race_black,18.0,False
AR,sb722,04,vap_race_hispanic,5.45,False
AR,sb722,04,vap_race_asian,0.87,False
AR,sb722,04,vap_race_other,4.43,False
AR,sb722,statewide,efficiency_gap,-21.3736444687892,False
AR,sb722,statewide,median,-3.23474851740708,False
AR,sb723,01,competitive,0.0,False
AR,sb723,01,pvi,-41.9150356325295,False
AR,sb723,01,vap_race_white,74.52,False
AR,sb723,01,vap_race_black,17.17,False
AR,sb723,01,vap_race_hispanic,3.32,False
AR,sb723,01,vap_race_asian,0.79,False
AR,sb723,01,vap_race_other,4.21,False
AR,sb723,02,competitive,0.0,False
AR,sb723,02,pvi,-22.818399024867,False
AR,sb723,02,vap_race_white,72.88,False
AR,sb723,02,vap_race_black,15.61,False
AR,sb723,02,vap_race_hispanic,4.75,False
AR,sb723,02,vap_race_asian,1.74,False
AR,sb723,02,vap_race_other,5.01,False
AR,sb723,03,competitive,0.0,False
AR,sb723,03,pvi,-30.3209739793952,False
AR,sb723,03,vap_race_white,71.96,False
AR,sb723,03,vap_race_black,2.8,False
AR,sb723,03,vap_race_hispanic,13.53,False
AR,sb723,03,vap_race_asian,3.55,False
AR,sb723,03,vap_race_other,8.15,False
AR,sb723,04,competitive,0.0,False
AR,sb723,04,pvi,-33.874309457221,False
AR,sb723,04,vap_race_white,66.78,False
AR,sb723,04,vap_race_black,21.37,False
AR,sb723,04,vap_race_hispanic,6.6,False
AR,sb723,04,vap_race_asian,0.83,False
AR,sb723,04,vap_race_other,4.42,False
AR,sb723,statewide,efficiency_gap,-21.3735417125248,False
AR,sb723,statewide,median,-0.261231718308096,False
AR,sb724,01,competitive,0.0,False
AR,sb724,01,pvi,-55.6721375427626,False
AR,sb724,01,vap_race_white,84.16,False
